id,filtered_words,features,label_index
R129,"['citizen', 'language', 'computer', 'administration.', 'individual', 'place', 'foot', 'near', 'citizen', 'sell', 'resource.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[8,1716,3556,3614,3684,4485,4506,4687,5974,6390,6484,7890,8151,8614,9462],[8.274329118810059,4.137164559405029,2.849310271098391,0.6832166123573445,3.7316994512968646,4.019381523748645,0.691153161953081,0.691153161953081,3.6516567436233283,4.270695952029551,4.607168188650764,4.607168188650764,4.42484663185681,4.270695952029551,0.691153161953081])",1.0
R227,"['small', 'ready', 'rich', 'team.', 'though', 'trade', 'difference', 'vote', 'lead.', 'feeling', 'prepare', 'industry', 'week.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[222,419,613,821,2059,2286,2302,3010,3385,3614,4506,4687,6021,6212,6557,7386,7866,9214,9462],[4.830311739964974,4.830311739964974,4.42484663185681,2.849310271098391,2.579019941358479,3.4440173788450834,5.117993812416755,4.270695952029551,4.42484663185681,0.6832166123573445,0.691153161953081,0.691153161953081,4.42484663185681,4.607168188650764,4.270695952029551,4.830311739964974,4.137164559405029,4.019381523748645,0.691153161953081])",1.0
F231,"['ball', 'area', 'poor', 'event.', 'share', 'bad', 'federal', 'community', 'child', 'threat', 'hope.', 'describe', 'nice.', 'wear', 'ability', 'minute.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,633,650,3681,3947,5279,5649,5850,6581,7085,7175,7244,7281,7492,7936,7956,8070,8103,8174,8338,8780,9918],[0.691153161953081,4.019381523748645,2.958509563063383,4.830311739964974,3.914021008090819,5.117993812416755,4.830311739964974,0.691153161953081,4.019381523748645,4.270695952029551,5.117993812416755,3.6516567436233283,0.6832166123573445,4.42484663185681,0.691153161953081,4.42484663185681,3.8187108282864943,4.830311739964974,4.270695952029551,0.691153161953081,5.117993812416755,5.117993812416755])",0.0
R066,"['father', 'trip', 'customer', 'concern', 'call', 'yes.', 'standard', 'go', 'build', 'beat', 'natural', 'more.', 'drive', 'best', 'back', 'present', 'share', 'especially.', 'official', 'measure', 'range.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[416,528,763,1209,1413,1770,1800,1968,2569,2601,2967,3014,3614,3947,4506,4687,4988,5146,5782,6325,6451,6944,8130,8430,8485,9462],[5.117993812416755,4.137164559405029,4.42484663185681,4.270695952029551,5.117993812416755,2.7508701982851385,4.607168188650764,3.914021008090819,3.914021008090819,4.830311739964974,4.830311739964974,4.607168188650764,0.6832166123573445,3.914021008090819,0.691153161953081,0.691153161953081,3.914021008090819,4.270695952029551,4.137164559405029,4.270695952029551,3.7316994512968646,2.849310271098391,4.42484663185681,4.42484663185681,4.270695952029551,0.691153161953081])",1.0
F095,"['writer', 'strong', 'leg', 'season.', 'marriage', 'hair', 'policy', 'sometimes', 'tell', 'step', 'city.', 'short', 'occur', 'never', 'institution', 'pay', 'movie.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[206,281,503,1208,1262,1558,1850,1921,3184,3243,4142,4715,4897,5850,5869,6229,6290,6355,6906,7140,7281,7664,7936,8338],[5.117993812416755,3.914021008090819,0.691153161953081,2.7200985396183848,4.270695952029551,4.137164559405029,4.019381523748645,4.137164559405029,2.7508701982851385,4.137164559405029,4.270695952029551,3.914021008090819,4.270695952029551,0.691153161953081,4.830311739964974,4.137164559405029,4.270695952029551,4.270695952029551,4.270695952029551,5.117993812416755,0.6832166123573445,4.270695952029551,0.691153161953081,0.691153161953081])",0.0
R174,"['treat', 'quality', 'tax', 'letter.', 'series', 'rate', 'pass', 'level', 'mean', 'research.', 'two', 'international', 'analysis', 'stop', 'country', 'blood', 'bill.', 'action', 'least.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[188,253,796,909,1296,1499,2359,3163,3204,3506,3614,4300,4463,4506,4687,4728,6587,6633,6944,7066,7870,8392,8750,9462],[4.42484663185681,4.019381523748645,3.914021008090819,3.8187108282864943,4.607168188650764,3.914021008090819,4.270695952029551,4.607168188650764,5.523458920524919,3.8187108282864943,0.6832166123573445,5.523458920524919,4.42484663185681,0.691153161953081,0.691153161953081,3.7316994512968646,4.270695952029551,4.42484663185681,2.849310271098391,2.8844015909096608,4.270695952029551,4.137164559405029,4.270695952029551,0.691153161953081])",1.0
R201,"['political', 'fear', 'attention', 'middle', 'heavy.', 'institution', 'seven', 'carry', 'fast', 'red', 'visit', 'surface.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[52,454,698,1411,1770,3144,3243,3614,3935,4506,4687,5417,6219,7850,9263,9462,9513,9878],[4.607168188650764,3.4440173788450834,4.137164559405029,5.523458920524919,2.7508701982851385,4.42484663185681,4.137164559405029,0.6832166123573445,3.7316994512968646,0.691153161953081,0.691153161953081,4.830311739964974,3.172083663361442,4.019381523748645,4.019381523748645,0.691153161953081,4.137164559405029,3.914021008090819])",1.0
R072,"['key', 'source', 'long', 'brother', 'film', 'seat.', 'bit', 'civil', 'least', 'teacher.', 'performance', 'television', 'study', 'carry', 'fall', 'space.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[291,454,593,1098,1268,1634,1989,3131,3614,3729,4224,4506,4687,5003,5047,5500,7721,8713,8904,9351,9462],[4.42484663185681,3.4440173788450834,4.270695952029551,4.270695952029551,5.117993812416755,4.019381523748645,3.914021008090819,3.577548771469606,0.6832166123573445,4.607168188650764,4.137164559405029,0.691153161953081,0.691153161953081,3.8187108282864943,2.6902455764687034,4.607168188650764,3.7316994512968646,3.6516567436233283,4.137164559405029,3.914021008090819,0.691153161953081])",1.0
R064,"['manage', 'thank', 'suggest.', 'different', 'example', 'president.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[1687,3478,3614,4506,4687,5374,6683,7066,7883,9462,9606],[4.137164559405029,5.523458920524919,0.6832166123573445,0.691153161953081,0.691153161953081,3.914021008090819,4.830311739964974,2.8844015909096608,3.8187108282864943,0.691153161953081,4.607168188650764])",1.0
F037,"['bill', 'phone', 'administration', 'poor.', 'suffer', 'range', 'us', 'find', 'language', 'prepare.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[165,503,1256,1626,1716,2613,3386,5185,5850,6135,6660,7281,7510,7860,7936,8135,8338],[4.137164559405029,0.691153161953081,3.125563647726549,3.914021008090819,4.137164559405029,4.830311739964974,5.523458920524919,4.607168188650764,0.691153161953081,4.607168188650764,4.270695952029551,0.6832166123573445,4.42484663185681,2.958509563063383,0.691153161953081,4.019381523748645,0.691153161953081])",0.0
